txn_id,customer_id,amount,merchant_category,timestamp,location,is_international,customer_avg_txn,days_since_last_txn,card_type,customer_age,is_fraud
TXN_04710,CUST_0170,50.91,online,2024-02-11T16:06:00,Toronto,yes,3146.38,0.0,Credit,57.0,0
TXN_00691,CUST_0163,282.28,resturant,02/11/2024 20:09,Montreal,,,226.0,,42.0,0
TXN_00065,CUST_0316,201.22,ATM,10/21/2024 19:11,Ottawa,,,22.0,credit,58.0,0
TXN_03426,CUST_0196,95.19,travel,2024-01-24T00:52:00,Ottawa,Yes,164.9,6.0,Credit,37.0,0
TXN_04820,CUST_0154,587.83,travel,2024-04-14T01:56:00,Montreal,False,194.86,9.0,debit,40.0,0
TXN_00393,CUST_0153,180.4,Groceries,,Ottawa,no,115.33,6.0,Debit,45.0,0
TXN_01424,CUST_0328,349.99,online,2024-09-29T22:56:00,London UK,False,218.26,18.0,,41.0,0
TXN_00642,CUST_0497,149.98,Retail,2024-06-04T00:38:00,Toronto,False,184.42,20.0,debit,28.0,0
TXN_02835,CUST_0090,62.0,Retail,2024-01-21T16:39:00,Toronto,1,231.48,28.0,,42.0,0
TXN_01738,CUST_0263,$79.92,Online,30-Aug-2024 10:52 PM,Toronto,no,145.17,19.0,credit,73.0,0
TXN_02945,CUST_0292,25.86,groceries,2024-08-07T06:11:00,Toronto,False,193.43,19.0,credit,32.0,0
TXN_02067,CUST_0158,169.77,restaurant,20-Jan-2024 08:56 AM,Vancouver,Yes,156.59,15.0,,41.0,0
TXN_03347,CUST_0494,76.87,travel,,Vancouver,True,243.26,23.0,Debit,64.0,0
TXN_00530,CUST_0494,62.71,retail,10/06/2024 17:09,,False,109.18,22.0,Debit,62.0,0
TXN_04301,CUST_0121,,restaurant,2024-05-01T14:00:00,Vancouver,0,154.98,18.0,Debit,20.0,0
TXN_00828,CUST_0074,121.6,,03/23/2024 09:54,Toronto,,187.71,2.0,Debit,76.0,0
TXN_01204,CUST_0474,47.28,GROCERIES,2024-07-22T18:08:00,London UK,False,93.29,19.0,CREDIT,61.0,0
TXN_00179,CUST_0398,235.58,travel,2024-11-26T20:29:00,Montreal,False,4604.97,10.0,CREDIT,,0
